name,latitude,longitude,type
CMJ University,26.0966427,91.87795349999999,universities
Gauhati University,26.1540389,91.66296679999999,universities
Radha Govinda Baruah College,26.1635701,91.7368437,universities
Assam Institute of Technology,26.1331776,91.7858816,universities
BMBB Commerce College,26.1710903,91.73286709999999,universities
Karmashree Hiteswar Saikia College,26.1318509,91.81276460000001,universities
B. Borooah College,26.1785533,91.75685530000001,universities
Institute Of Hotel Management,26.1474392,91.815072,universities
CMJ UNIVERSITY SHILLONG,26.1015502,91.864615,universities
Pharma job,26.2499007,91.6914078,universities
NORTH GUWAHATI COLLEGE,26.2029458,91.7144292,universities
Gauhati Medical College,26.1542109,91.77007139999999,universities
Appin International Guwahati,26.185261,91.75748709999999,universities
PCPS Girls' Polytechnic,26.1820694,91.77954539999999,universities
Swadeshi Academy,26.1612331,91.7749134,universities
Sikkim Manipal University Distance Education (SMU-DE),26.1593315,91.69858149999999,universities
College of Aeronautical Engineering (A Unit of GIET University),26.1024697,91.61192559999999,universities
Sikkim Manipal University Directorate of Distance Education,26.1696722,91.7651212,universities
Barbhag College,26.3645284,91.48297529999999,universities
Sikkim Manipal University - Distance Education (SMU-DE),26.1860556,91.7427438,universities
Mahalaxmi Assocaite,26.1580115,91.7405541,shopping_malls
Exotica Greens,26.1653236,91.7790399,shopping_malls
RCM PUC BIJOYNAGAR,26.1041241,91.5065807,shopping_malls
Century Veneer,26.1266209,91.7194214,shopping_malls
Banik Complex,26.1390296,91.74042279999999,shopping_malls
Patanjali Arogya Kendra,26.141557,91.74161389999999,shopping_malls
Brahmaputra Industrial & Suppliers,26.1779708,91.7406833,shopping_malls
"A.K Studio & Sabina Electronics, Tapabori chwak ,Monday Bazar",26.2363053,91.43319369999999,shopping_malls
V2 Retail Limited,26.1794331,91.7515303,shopping_malls
Jain Shree,26.1765678,91.7533946,shopping_malls
The Hub Mall,26.1669992,91.7668243,shopping_malls
Dona Planet Multiplex and Mall,26.161138,91.77226859999999,shopping_malls
TRENDS Footwear _ Central Mall Guwahati,26.15752,91.77816,shopping_malls
Protech Centre,26.1492127,91.7864113,shopping_malls
Bhogali Jalpan: ভোগালী জলপান,26.1588292,91.78783270000001,shopping_malls
"Westside - Udeshna Mall, Guwahati",26.13947,91.7985909,shopping_malls
Patanjali Arogya Kendra,26.344279,91.72766829999999,shopping_malls
RCM,26.1231274,92.00234549999999,shopping_malls
Sohum Emporia,26.16304879999999,91.7715547,shopping_malls
JC store,26.0890848,91.5621669,shopping_malls
Metro Baazar,26.1805177,91.74820249999999,supermarkets
Organic Market Complex,26.1328818,91.8165717,supermarkets
The Grocer Supermarket,26.1602517,91.68528429999999,supermarkets
Guwahati Municipal Corporation Market Complex,26.1811003,91.73817199999999,supermarkets
Vishal Mega Mart,26.1799619,91.7460485,supermarkets
Reliance SMART Bazaar,26.1659301,91.76848009999999,supermarkets
Vishal Mega Mart,26.1491273,91.7863331,supermarkets
Protech Centre,26.1492127,91.7864113,supermarkets
Super Home Shop,26.1420289,91.79994839999999,supermarkets
